setting_id,topology,dimension,overlap_ratio,overlap_ratio_target,seed,operator,mean_conflict_before,mean_conflict_after,proposal_consensus_collapse_ratio,post_coordination_regenerated_conflict,conflict_persistence,consensus_instability,reward_proposal_inconsistency,final_objective,FE_total,FE_commit_evaluation,FE_analysis_only,FE_coordination_extra,low_overlap_case,low_overlap_regression_flag
s000_line_d100_o0,line,100,0.0,0.0,0,NoCoordination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.22716979200077,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,0,AverageConsensus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.22716979200077,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,0,BestRewardSelection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.22716979200077,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,0,WeightedConsensus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.22716979200077,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,0,ConflictDampening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.22716979200077,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,1,NoCoordination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.05676144933012,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,1,AverageConsensus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.05676144933012,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,1,BestRewardSelection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.05676144933012,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,1,WeightedConsensus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.05676144933012,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,1,ConflictDampening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.05676144933012,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,2,NoCoordination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.50974624931351,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,2,AverageConsensus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.50974624931351,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,2,BestRewardSelection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.50974624931351,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,2,WeightedConsensus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.50974624931351,10,1,0,0,True,False
s000_line_d100_o0,line,100,0.0,0.0,2,ConflictDampening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.50974624931351,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,0,NoCoordination,0.511631959831812,0.511631959831812,0.0,0.511631959831812,1.0,0.3829052666917794,0.529995879495436,93.22716979200077,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,0,AverageConsensus,0.511631959831812,0.0,1.0,0.0,0.0,0.23971077721549003,0.529995879495436,92.77872694091782,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,0,BestRewardSelection,0.511631959831812,0.0,1.0,0.0,0.0,0.21211314497440203,0.529995879495436,92.71310312478396,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,0,WeightedConsensus,0.511631959831812,0.0,1.0,0.0,0.0,0.20341898606860093,0.529995879495436,92.69274485984313,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,0,ConflictDampening,0.511631959831812,0.0,1.0,0.0,0.0,0.2664652571212737,0.529995879495436,92.84769668539069,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,1,NoCoordination,0.4582820133286732,0.4582820133286732,0.0,0.4582820133286732,1.0,0.797450028353932,0.5699460399860196,73.05676144933012,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,1,AverageConsensus,0.4582820133286732,0.0,1.0,0.0,0.0,0.5830796026307338,0.5699460399860196,71.46147803168816,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,1,BestRewardSelection,0.4582820133286732,0.0,1.0,0.0,0.0,0.5411151648548979,0.5699460399860196,71.3281595544528,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,1,WeightedConsensus,0.4582820133286732,0.0,1.0,0.0,0.0,0.5168458897975948,0.5699460399860196,71.12196995988704,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,1,ConflictDampening,0.4582820133286732,0.0,1.0,0.0,0.0,0.6161795700322837,0.5699460399860196,71.6895904119301,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,2,NoCoordination,0.31698506759430617,0.31698506759430617,0.0,0.31698506759430617,1.0,1.3633591945527546,0.3460552027829186,90.50974624931351,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,2,AverageConsensus,0.31698506759430617,0.0,1.0,0.0,0.0,0.9749955680839166,0.3460552027829186,85.76283758224233,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,2,BestRewardSelection,0.31698506759430617,0.0,1.0,0.0,0.0,1.1307397512647053,0.3460552027829186,87.78236199518538,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,2,WeightedConsensus,0.31698506759430617,0.0,1.0,0.0,0.0,1.1062722788751589,0.3460552027829186,87.31460808282674,10,1,0,0,True,False
s001_line_d100_o0.05,line,100,0.05,0.05,2,ConflictDampening,0.31698506759430617,0.0,1.0,0.0,0.0,0.9979293177301298,0.3460552027829186,86.01910584847468,10,1,0,0,True,False
s002_line_d100_o0.1,line,100,0.1,0.1,0,NoCoordination,0.3852088557927515,0.3852088557927515,0.0,0.3852088557927515,1.0,0.741235738244974,0.4506765673782545,93.22716979200077,10,1,0,0,False,False
s002_line_d100_o0.1,line,100,0.1,0.1,0,AverageConsensus,0.3852088557927515,0.0,1.0,0.0,0.0,0.5165805913354607,0.4506765673782545,90.36194895668093,10,1,0,0,False,False
s002_line_d100_o0.1,line,100,0.1,0.1,0,BestRewardSelection,0.3852088557927515,0.0,1.0,0.0,0.0,0.46345532226272895,0.4506765673782545,89.82867077367281,10,1,0,0,False,False
s002_line_d100_o0.1,line,100,0.1,0.1,0,WeightedConsensus,0.3852088557927515,0.0,1.0,0.0,0.0,0.4353911423223546,0.4506765673782545,89.5739362665375,10,1,0,0,False,False
s002_line_d100_o0.1,line,100,0.1,0.1,0,ConflictDampening,0.3852088557927515,0.0,1.0,0.0,0.0,0.5397530336577363,0.4506765673782545,90.61441851063857,10,1,0,0,False,False
s002_line_d100_o0.1,line,100,0.1,0.1,1,NoCoordination,0.4438275888748455,0.4438275888748455,0.0,0.4438275888748455,1.0,0.6293185658596321,0.42653276662453654,73.05676144933012,10,1,0,0,False,False
s002_line_d100_o0.1,line,100,0.1,0.1,1,AverageConsensus,0.4438275888748455,0.0,1.0,0.0,0.0,0.46030505913574327,0.42653276662453654,70.9493641129499,10,1,0,0,False,False
s002_line_d100_o0.1,line,100,0.1,0.1,1,BestRewardSelection,0.4438275888748455,0.0,1.0,0.0,0.0,0.4969760305438571,0.42653276662453654,71.18677548598042,10,1,0,0,False,False
s002_line_d100_o0.1,line,100,0.1,0.1,1,WeightedConsensus,0.4438275888748455,0.0,1.0,0.0,0.0,0.4445382063494614,0.42653276662453654,70.81205460076919,10,1,0,0,False,False
s002_line_d100_o0.1,line,100,0.1,0.1,1,ConflictDampening,0.4438275888748455,0.0,1.0,0.0,0.0,0.4872081465115781,0.42653276662453654,71.25808914894795,10,1,0,0,False,False
s002_line_d100_o0.1,line,100,0.1,0.1,2,NoCoordination,0.40938080166712465,0.40938080166712465,0.0,0.40938080166712465,1.0,1.0990204404721235,0.523192405001374,90.50974624931351,10,1,0,0,False,False
